query,qemb,sql,gt,activity,category,explain,updated_date,tquery
列出电子产品分类下的所有产品,列出所有电子产品分类下的产品,SELECT * FROM Products WHERE Category = '电子产品';,,"function: query_word
field:product_cate1
kword:电子产品
response: product_cate2",select all,列出该分类下的所有品牌,2024/5/14,列出电子产品分类下的所有产品
列出所有电子产品分类下的产品,列出所有电子产品分类下的产品,SELECT * FROM Products WHERE Category = '电子产品';,,"function: query_word
field:product_cate1
kword:电子产品
response: product_cate2",select all,列出该分类下的所有品牌,2024/5/14,列出所有电子产品分类下的产品
鼠标属于哪个分类,鼠标属于哪个分类,SELECT Category FROM Products WHERE ProductName = '鼠标';,"{Category:category,
Products:product,
ProductName:product_name
}","table:product
doFunc: searchValueInField
kwargs:{field: product_name, value: '鼠标'}
showFunc::outputField
kwargs:{field:category}
",select columns,*属于哪个分类,,鼠标属于哪个分类
有哪些产品是计算机,有哪些产品是计算机,SELECT * FROM Products WHERE Category = '计算机';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate3",select all,"哪些产品是*
哪些产品属于*",,有哪些产品是计算机
远程数据恢复属于哪个分类,远程数据恢复属于哪个分类,SELECT Category FROM Products WHERE ProductName = '远程数据恢复';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate1",select columns,,,远程数据恢复属于哪个分类
台式机与笔记本有什么区别,台式机与笔记本有什么区别,SELECT DISTINCT Property FROM Products WHERE Category = '台式机' OR Category = '笔记本电脑';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate8",select diff,,,台式机与笔记本有什么区别
有什么与鼠标有关的产品,有什么与鼠标有关的产品,SELECT * FROM Products WHERE RelatedTo = '鼠标';,,"function: query_multi_fields
field:*
kword:""鼠标""
response: process_result",related to,与*相关的docs,,有什么与鼠标有关的产品
有哪些新上市的产品,有哪些新上市的产品,SELECT * FROM Products WHERE ReleaseDate >= '2024-01-01';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate5",new release,与上市相关的docs,,有哪些新上市的产品
有没有价格低于50的鼠标,有没有价格低于50的鼠标,SELECT * FROM Products WHERE Category = '鼠标' AND Price < 50;,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate7",condidtional select *,条件查询,,有没有价格低于50的鼠标
笔记本电脑一般多少钱,笔记本电脑一般多少钱,SELECT AVG(Price) FROM Products WHERE Category = '笔记本电脑';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate9",select avg,平均值聚合,,笔记本电脑一般多少钱
列出所有折叠型的平板电脑。,列出所有折叠型的平板电脑。,"```
SELECT * FROM Products
WHERE category = 'Tablet' AND type = 'Foldable';
```",,,,,,列出所有折叠型的平板电脑
有哪些新上市的产品,有哪些新上市的产品,SELECT * FROM Products WHERE ReleaseDate >= '2024-01-01';,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate5",new release,与上市相关的docs,,有哪些新上市的产品
找出所有内存容量大于16 GB的服务器。,找出所有内存容量大于16 GB的服务器。,"```sql
SELECT * FROM servers WHERE memory_capacity > 16;
```",,,,,,找出所有内存容量大于16 GB的服务器
有没有价格低于50的鼠标,有没有价格低于50的鼠标,SELECT * FROM Products WHERE Category = '鼠标' AND Price < 50;,,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate7",condidtional select *,条件查询,,有没有价格低于50的鼠标
