No,query,sql_zh,sql_en,rewrite
1,该产品的价格是多少？,,,
2,哪些产品属于笔记本类别？,,,
3,有没有 16GB 内存的产品？,,,
4,哪些产品有 512GB 的固态硬盘？,,,
5,这款产品的颜色有哪些可选？,,,
6,有没有 15 英寸屏幕的产品？,,,
7,该产品的发布日期是什么时候？,,,
8,不同品牌的产品数量分布如何？,,,
9,产品的价格分布是怎样的？,,,
10,不同类别产品的平均价格是多少？,,,
11,不同颜色产品的销量如何？,,,
12,产品的上架时间分布情况如何？,,,
13,总共有多少款产品？,,,
14,最贵的产品是哪一款？,,,
15,平均价格是多少？,,,
16,总共有多少个不同的品牌？,,,
17,每个品牌的产品数量分别是多少？,,,
18,每个类别的产品数量分别是多少？,,,
19,每个颜色的产品数量分别是多少,,,
20,这个电脑多少钱？,,,
21,有没笔记本？,,,
22,最贵的是啥？,,,
23,有 16GB 内存的吗？,,,
24,有 512G 硬盘的吗？,,,
25,这个啥时候发布的？,,,
26,有啥颜色？,,,
27,有 15 寸屏幕的吗？,,,
28,这个牌子多少钱？,,,
29,色彩分布怎样？,,,
30,最近发售的,,,
31,联想小新,,,
32,想买台日常办公用，价格5000左右的电脑,,,
33,thinkpad的配置如何,,,
34,送孩子的礼物，男孩子，今年高考,,,
35,thinkpad有GPU吗,,,
36,推荐一款游戏本,,,
