no,query,qembedding,category,action,explain,sql,mapping
1,鼠标属于哪个分类,鼠标属于哪个分类,select columns,"table:product
doFunc: searchValueInField
kwargs:{field: product_name, value: '鼠标'}
showFunc::outputField
kwargs:{field:category}
",*属于哪个分类,SELECT Category FROM Products WHERE ProductName = '鼠标';,"{Category:category,
Products:product,
ProductName:product_name
}"
2,远程数据恢复属于哪个分类,远程数据恢复属于哪个分类,select columns,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate1",,SELECT Category FROM Products WHERE ProductName = '远程数据恢复';,
3,列出所有电子产品分类下的产品,列出所有电子产品分类下的产品,select all,"function: query_word
field:product_cate1
kword:电子产品
response: product_cate2",列出该分类下的所有品牌,SELECT * FROM Products WHERE Category = '电子产品';,
4,有哪些产品是计算机,有哪些产品是计算机,select all,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate3","哪些产品是*
哪些产品属于*",SELECT * FROM Products WHERE Category = '计算机';,
5,有什么与鼠标有关的产品,有什么与鼠标有关的产品,related to,"function: query_multi_fields
field:*
kword:""鼠标""
response: process_result",与*相关的docs,SELECT * FROM Products WHERE RelatedTo = '鼠标';,
6,有哪些新上市的产品,有哪些新上市的产品,new release,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate5",与上市相关的docs,SELECT * FROM Products WHERE ReleaseDate >= '2024-01-01';,
7,列出价格在1000~15000的电脑,列出价格在1000~15000的电脑,conditional select *,"function: query_range
field:product_name
kword:远程数据恢复
response: product_cate6",在某区间的某类产品,SELECT * FROM Products WHERE Category = '电脑' AND Price BETWEEN 1000 AND 15000;,
8,有没有价格低于50的鼠标,有没有价格低于50的鼠标,condidtional select *,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate7",条件查询,SELECT * FROM Products WHERE Category = '鼠标' AND Price < 50;,
9,台式机与笔记本有什么区别,台式机与笔记本有什么区别,select diff,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate8",,SELECT DISTINCT Property FROM Products WHERE Category = '台式机' OR Category = '笔记本电脑';,
10,笔记本电脑一般多少钱,笔记本电脑一般多少钱,select avg,"function: query_word
field:product_name
kword:远程数据恢复
response: product_cate9",平均值聚合,SELECT AVG(Price) FROM Products WHERE Category = '笔记本电脑';,
11,想买一台笔记本，价格在5000块左右，请问怎么选择,想买一台笔记本，价格在5000块左右，请问怎么选择,,,,"SELECT product_name
FROM products
WHERE price BETWEEN 4900 AND 5100
  AND product_name LIKE '%笔记本%';",
12,请按品牌对产品分组，并给出每种品牌下产品类别的数量,请按品牌对产品分组，并给出每种品牌下产品类别的数量,,,,"SELECT brand, COUNT(product_name) FROM products GROUP BY brand;",
13,找出所有白色的笔记本电脑。,找出所有白色的笔记本电脑。,,,,"```sql
SELECT * FROM products 
WHERE color = '白色' 
AND category = '笔记本电脑';
```",
14,搜索所有价格在1000到1500美元之间的智能手机。,搜索所有价格在1000到1500美元之间的智能手机。,,,,"```sql
SELECT * FROM products
WHERE category = 'smartphone' AND price >= 1000 AND price <= 1500;
```",
15,列出所有折叠型的平板电脑。,列出所有折叠型的平板电脑。,,,,"```
SELECT * FROM Products
WHERE category = 'Tablet' AND type = 'Foldable';
```",
16,找出GPU系列为NVIDIA GeForce、CPU主频超过3.0 GHz的游戏台式电脑。,找出GPU系列为NVIDIA GeForce、CPU主频超过3.0 GHz的游戏台式电脑。,,,,"```
SELECT * FROM products
WHERE category = 'Game Desktop'
AND gpu_series = 'NVIDIA GeForce'
AND cpu_speed > 3.0;
```",
17,显示所有已经下架的产品。,显示所有已经下架的产品。,,,,"```sql
SELECT * FROM products WHERE status = '下架';
```",
18,查找品牌为华硕、屏幕尺寸在13到15英寸之间的笔记本电脑。,查找品牌为华硕、屏幕尺寸在13到15英寸之间的笔记本电脑。,,,,"```sql
SELECT * FROM products
WHERE category = '笔记本电脑'
AND brand = '华硕'
AND screen_size >= 13
AND screen_size <= 15;
```",
19,找出所有内存容量大于16 GB的服务器。,找出所有内存容量大于16 GB的服务器。,,,,"```sql
SELECT * FROM servers WHERE memory_capacity > 16;
```",
20,搜索所有配备Intel处理器的笔记本电脑。,搜索所有配备Intel处理器的笔记本电脑。,,,,"```sql
SELECT * FROM laptops WHERE processor = 'Intel';
```",
21,显示品牌为苹果、屏幕尺寸大于15英寸且价格低于2000美元的产品。,显示品牌为苹果、屏幕尺寸大于15英寸且价格低于2000美元的产品。,,,,"```sql
SELECT * FROM products
WHERE brand = '苹果' AND screen_size > 15 AND price < 2000;
```",
22,找出所有兼容Windows 10操作系统的台式电脑。,找出所有兼容Windows 10操作系统的台式电脑。,,,,"```sql
SELECT * FROM desktop WHERE compatibility = 'Windows 10';
```",
